rid,date,eid,cid,rate
0,2022-04-05 13:00:00,1,BTC,46017.99
1,2022-04-05 13:00:00,2,BTC,46018.81
2,2022-04-05 13:00:00,3,BTC,46013.15
3,2022-04-05 13:00:00,4,BTC,46009.4
4,2022-04-05 13:00:00,5,BTC,46013.0
5,2022-04-05 13:00:00,1,ETH,3473.11
6,2022-04-05 13:00:00,2,ETH,3471.64
7,2022-04-05 13:00:00,3,ETH,3473.08
8,2022-04-05 13:00:00,4,ETH,3472.02
9,2022-04-05 13:00:00,5,ETH,3473.3
10,2022-04-05 13:00:00,1,LTC,125.2
11,2022-04-05 13:00:00,2,LTC,125.3
12,2022-04-05 13:00:00,3,LTC,125.2
13,2022-04-05 13:00:00,4,LTC,125.33
14,2022-04-05 13:00:00,5,LTC,125.25
15,2022-04-05 13:00:00,1,LUNA,116.12
16,2022-04-05 13:00:00,2,LUNA,116.04
17,2022-04-05 13:00:00,3,LUNA,116.2126
18,2022-04-05 13:00:00,4,LUNA,116.12
19,2022-04-05 13:00:00,5,LUNA,116.17
20,2022-04-05 13:00:00,1,ADA,1.193
21,2022-04-05 13:00:00,2,ADA,1.1924
22,2022-04-05 13:00:00,3,ADA,1.193173
23,2022-04-05 13:00:00,4,ADA,1.19314
24,2022-04-05 13:00:00,5,ADA,1.19258
25,2022-04-05 13:00:00,1,DOT,22.35
26,2022-04-05 13:00:00,2,DOT,22.37
27,2022-04-05 13:00:00,3,DOT,22.358
28,2022-04-05 13:00:00,4,DOT,22.3601
29,2022-04-05 13:00:00,5,DOT,22.36
30,2022-04-05 14:00:00,1,BTC,45927.09
31,2022-04-05 14:00:00,2,BTC,45929.63
32,2022-04-05 14:00:00,3,BTC,45926.28
33,2022-04-05 14:00:00,4,BTC,45950.1
34,2022-04-05 14:00:00,5,BTC,45921.0
35,2022-04-05 14:00:00,1,ETH,3451.17
36,2022-04-05 14:00:00,2,ETH,3451.91
37,2022-04-05 14:00:00,3,ETH,3451.11
38,2022-04-05 14:00:00,4,ETH,3451.61
39,2022-04-05 14:00:00,5,ETH,3451.0
40,2022-04-05 14:00:00,1,LTC,124.5
41,2022-04-05 14:00:00,2,LTC,124.46
42,2022-04-05 14:00:00,3,LTC,124.44
43,2022-04-05 14:00:00,4,LTC,124.5
44,2022-04-05 14:00:00,5,LTC,124.535
45,2022-04-05 14:00:00,1,LUNA,115.78
46,2022-04-05 14:00:00,2,LUNA,115.86
47,2022-04-05 14:00:00,3,LUNA,115.7824
48,2022-04-05 14:00:00,4,LUNA,115.77
49,2022-04-05 14:00:00,5,LUNA,115.67
50,2022-04-05 14:00:00,1,ADA,1.198
51,2022-04-05 14:00:00,2,ADA,1.1981
52,2022-04-05 14:00:00,3,ADA,1.19782
53,2022-04-05 14:00:00,4,ADA,1.198123
54,2022-04-05 14:00:00,5,ADA,1.19751
55,2022-04-05 14:00:00,1,DOT,22.3
56,2022-04-05 14:00:00,2,DOT,22.3
57,2022-04-05 14:00:00,3,DOT,22.3019
58,2022-04-05 14:00:00,4,DOT,22.3096
59,2022-04-05 14:00:00,5,DOT,22.311
60,2022-04-05 15:00:00,1,BTC,45742.25
61,2022-04-05 15:00:00,2,BTC,45767.4
62,2022-04-05 15:00:00,3,BTC,45739.69
63,2022-04-05 15:00:00,4,BTC,45774.6
64,2022-04-05 15:00:00,5,BTC,45738.0
65,2022-04-05 15:00:00,1,ETH,3430.33
66,2022-04-05 15:00:00,2,ETH,3431.94
67,2022-04-05 15:00:00,3,ETH,3429.97
68,2022-04-05 15:00:00,4,ETH,3433.3
69,2022-04-05 15:00:00,5,ETH,3430.2
70,2022-04-05 15:00:00,1,LTC,123.7
71,2022-04-05 15:00:00,2,LTC,123.63
72,2022-04-05 15:00:00,3,LTC,123.64
73,2022-04-05 15:00:00,4,LTC,123.66
74,2022-04-05 15:00:00,5,LTC,123.6
75,2022-04-05 15:00:00,1,LUNA,115.15
76,2022-04-05 15:00:00,2,LUNA,115.28
77,2022-04-05 15:00:00,3,LUNA,115.1468
78,2022-04-05 15:00:00,4,LUNA,115.26
79,2022-04-05 15:00:00,5,LUNA,115.12
80,2022-04-05 15:00:00,1,ADA,1.186
81,2022-04-05 15:00:00,2,ADA,1.1859
82,2022-04-05 15:00:00,3,ADA,1.185305
83,2022-04-05 15:00:00,4,ADA,1.186651
84,2022-04-05 15:00:00,5,ADA,1.184485
85,2022-04-05 15:00:00,1,DOT,22.19
86,2022-04-05 15:00:00,2,DOT,22.21
87,2022-04-05 15:00:00,3,DOT,22.1906
88,2022-04-05 15:00:00,4,DOT,22.2126
89,2022-04-05 15:00:00,5,DOT,22.202
90,2022-04-05 16:00:00,1,BTC,46050.0
91,2022-04-05 16:00:00,2,BTC,46038.67
92,2022-04-05 16:00:00,3,BTC,46059.2
93,2022-04-05 16:00:00,4,BTC,46060.9
94,2022-04-05 16:00:00,5,BTC,46063.0
95,2022-04-05 16:00:00,1,ETH,3470.22
96,2022-04-05 16:00:00,2,ETH,3468.62
97,2022-04-05 16:00:00,3,ETH,3470.08
98,2022-04-05 16:00:00,4,ETH,3469.47
99,2022-04-05 16:00:00,5,ETH,3470.7
100,2022-04-05 16:00:00,1,LTC,124.2
101,2022-04-05 16:00:00,2,LTC,124.14
102,2022-04-05 16:00:00,3,LTC,124.14
103,2022-04-05 16:00:00,4,LTC,124.18
104,2022-04-05 16:00:00,5,LTC,124.155
105,2022-04-05 16:00:00,1,LUNA,116.01
106,2022-04-05 16:00:00,2,LUNA,115.95
107,2022-04-05 16:00:00,3,LUNA,116.0061
108,2022-04-05 16:00:00,4,LUNA,115.94
109,2022-04-05 16:00:00,5,LUNA,116.01
110,2022-04-05 16:00:00,1,ADA,1.197
111,2022-04-05 16:00:00,2,ADA,1.1955
112,2022-04-05 16:00:00,3,ADA,1.196394
113,2022-04-05 16:00:00,4,ADA,1.194955
114,2022-04-05 16:00:00,5,ADA,1.19646
115,2022-04-05 16:00:00,1,DOT,22.32
116,2022-04-05 16:00:00,2,DOT,22.31
117,2022-04-05 16:00:00,3,DOT,22.3202
